jobName,city,companyName,companyDesc,workTime,studyTime,jobUrl,companyUrl,companyDomain,rongzi
高级游戏策划师,15k-30k,北京,竞技世界,,经验3-5年,本科,https://www.lagou.com/jobs/3778368.html,https://www.lagou.com/gongsi/4286.html,"移动互联网,游戏"
游戏策划/主策划,12k-24k,广州,多益网络,,经验不限,不限,https://www.lagou.com/jobs/3520023.html,https://www.lagou.com/gongsi/589.html,"移动互联网,游戏"
游戏策划,8k-10k,上海,IN次元,,经验1-3年,本科,https://www.lagou.com/jobs/3957441.html,https://www.lagou.com/gongsi/100890.html,"移动互联网,广告营销"
资深游戏策划,6k-11k,西安,BOO!,,经验3-5年,本科,https://www.lagou.com/jobs/3828599.html,https://www.lagou.com/gongsi/144191.html,"移动互联网,社交网络"
游戏策划,10k-20k,北京,冰火互动,,经验3-5年,本科,https://www.lagou.com/jobs/2360949.html,https://www.lagou.com/gongsi/138135.html,"游戏,移动互联网"
游戏策划/主策划,12k-24k,成都,多益网络,,经验不限,不限,https://www.lagou.com/jobs/3519396.html,https://www.lagou.com/gongsi/589.html,"移动互联网,游戏"
游戏策划（主策 ）,9k-13k,广州,爱拍原创,,经验1-3年,大专,https://www.lagou.com/jobs/3432763.html,https://www.lagou.com/gongsi/112.html,文化娱乐
游戏策划,3k-5k,长沙,追光网络科技,,经验3-5年,大专,https://www.lagou.com/jobs/3874570.html,https://www.lagou.com/gongsi/263933.html,"游戏,移动互联网"
游戏策划,4k-6k,郑州,蜉嘉网络,,经验1-3年,大专,https://www.lagou.com/jobs/3366067.html,https://www.lagou.com/gongsi/231211.html,"游戏,移动互联网"
游戏策划,6K-12K,广州,漩涡科技,,经验1-3年,大专,https://www.lagou.com/jobs/3847558.html,https://www.lagou.com/gongsi/126209.html,游戏
高级游戏策划,15k-25k,北京,竞技世界,,经验3-5年,本科,https://www.lagou.com/jobs/3852713.html,https://www.lagou.com/gongsi/4286.html,"移动互联网,游戏"
游戏策划师,8k-16k,杭州,杭州缘佳科技,,经验1-3年,大专,https://www.lagou.com/jobs/3544635.html,https://www.lagou.com/gongsi/229044.html,游戏
高级游戏策划,15k-25k,深圳,迅龙创威,,经验3-5年,大专,https://www.lagou.com/jobs/1476512.html,https://www.lagou.com/gongsi/53957.html,游戏
主策划/高级游戏策划,15k-25k,上海,麦萌漫画,,经验3-5年,大专,https://www.lagou.com/jobs/3748347.html,https://www.lagou.com/gongsi/126229.html,"移动互联网,电子商务"
游戏策划,6k-12k,北京,华夏乐游,,经验1-3年,本科,https://www.lagou.com/jobs/2426902.html,https://www.lagou.com/gongsi/32814.html,游戏
游戏策划,6k-8k,北京,展游,,经验1-3年,不限,https://www.lagou.com/jobs/3703116.html,https://www.lagou.com/gongsi/107701.html,游戏
